Fruitteeltregios,Perioden,soort,oogst
Regio Noord,1997,Coxs Orange Pippin,10
Regio Noord,1997,Delbarestivale (Delcorf),0
Regio Noord,1997,Elstar,30
Regio Noord,1997,Golden Delicious,5
Regio Noord,1997,Jonagold,23
Regio Noord,1997,Jonagored,8
Regio Noord,1997,Rode Boskoop (Goudreinette),3
Regio Noord,1997,Overige appelrassen,7
Regio Noord,1997,Conference,12
Regio Noord,1997,Stoofperen,2
Regio Noord,1997,Triomphe de Vienne,1
Regio Noord,1997,Overige perenrassen,1
Regio Noord,1998,Coxs Orange Pippin,8
Regio Noord,1998,Delbarestivale (Delcorf),0
Regio Noord,1998,Elstar,45
Regio Noord,1998,Golden Delicious,7
Regio Noord,1998,Jonagold,27
Regio Noord,1998,Jonagored,10
Regio Noord,1998,Rode Boskoop (Goudreinette),5
Regio Noord,1998,Overige appelrassen,7
Regio Noord,1998,Conference,16
Regio Noord,1998,Stoofperen,1
Regio Noord,1998,Triomphe de Vienne,0
Regio Noord,1998,Overige perenrassen,1
Regio Noord,1999,Coxs Orange Pippin,8
Regio Noord,1999,Delbarestivale (Delcorf),1
Regio Noord,1999,Elstar,38
Regio Noord,1999,Golden Delicious,7
Regio Noord,1999,Jonagold,31
Regio Noord,1999,Jonagored,10
Regio Noord,1999,Rode Boskoop (Goudreinette),6
Regio Noord,1999,Overige appelrassen,7
Regio Noord,1999,Conference,18
Regio Noord,1999,Stoofperen,1
Regio Noord,1999,Triomphe de Vienne,0
Regio Noord,1999,Overige perenrassen,1
Regio Noord,2000,Coxs Orange Pippin,5
Regio Noord,2000,Delbarestivale (Delcorf),0
Regio Noord,2000,Elstar,37
Regio Noord,2000,Golden Delicious,4
Regio Noord,2000,Jonagold,23
Regio Noord,2000,Jonagored,9
Regio Noord,2000,Rode Boskoop (Goudreinette),3
Regio Noord,2000,Overige appelrassen,6
Regio Noord,2000,Conference,25
Regio Noord,2000,Stoofperen,2
Regio Noord,2000,Triomphe de Vienne,0
Regio Noord,2000,Overige perenrassen,0
Regio Noord,2001,Coxs Orange Pippin,5
Regio Noord,2001,Delbarestivale (Delcorf),0
Regio Noord,2001,Elstar,30
Regio Noord,2001,Golden Delicious,4
Regio Noord,2001,Jonagold,22
Regio Noord,2001,Jonagored,7
Regio Noord,2001,Rode Boskoop (Goudreinette),3
Regio Noord,2001,Overige appelrassen,4
Regio Noord,2001,Conference,10
Regio Noord,2001,Stoofperen,0
Regio Noord,2001,Triomphe de Vienne,0
Regio Noord,2001,Overige perenrassen,1
Regio Noord,2002,Coxs Orange Pippin,2
Regio Noord,2002,Delbarestivale (Delcorf),0
Regio Noord,2002,Elstar,23
Regio Noord,2002,Golden Delicious,2
Regio Noord,2002,Jonagold,16
Regio Noord,2002,Jonagored,8
Regio Noord,2002,Rode Boskoop (Goudreinette),1
Regio Noord,2002,Overige appelrassen,3
Regio Noord,2002,Conference,16
Regio Noord,2002,Stoofperen,1
Regio Noord,2002,Triomphe de Vienne,0
Regio Noord,2002,Overige perenrassen,1
Regio Noord,2003,Coxs Orange Pippin,2
Regio Noord,2003,Delbarestivale (Delcorf),0
Regio Noord,2003,Elstar,24
Regio Noord,2003,Golden Delicious,3
Regio Noord,2003,Jonagold,17
Regio Noord,2003,Jonagored,9
Regio Noord,2003,Rode Boskoop (Goudreinette),2
Regio Noord,2003,Overige appelrassen,2
Regio Noord,2003,Conference,22
Regio Noord,2003,Stoofperen,1
Regio Noord,2003,Triomphe de Vienne,0
Regio Noord,2003,Overige perenrassen,1
Regio Noord,2004,Coxs Orange Pippin,2
Regio Noord,2004,Delbarestivale (Delcorf),0
Regio Noord,2004,Elstar,34
Regio Noord,2004,Golden Delicious,4
Regio Noord,2004,Jonagold,23
Regio Noord,2004,Jonagored,14
Regio Noord,2004,Rode Boskoop (Goudreinette),2
Regio Noord,2004,Overige appelrassen,3
Regio Noord,2004,Conference,25
Regio Noord,2004,Stoofperen,3
Regio Noord,2004,Triomphe de Vienne,0
Regio Noord,2004,Overige perenrassen,0
Regio Noord,2005,Coxs Orange Pippin,1
Regio Noord,2005,Delbarestivale (Delcorf),0
Regio Noord,2005,Elstar,20
Regio Noord,2005,Golden Delicious,3
Regio Noord,2005,Jonagold,9
Regio Noord,2005,Jonagored,5
Regio Noord,2005,Rode Boskoop (Goudreinette),1
Regio Noord,2005,Overige appelrassen,3
Regio Noord,2005,Conference,20
Regio Noord,2005,Stoofperen,1
Regio Noord,2005,Triomphe de Vienne,0
Regio Noord,2005,Overige perenrassen,0
Regio Noord,2006,Coxs Orange Pippin,2
Regio Noord,2006,Delbarestivale (Delcorf),0
Regio Noord,2006,Elstar,27
Regio Noord,2006,Golden Delicious,3
Regio Noord,2006,Jonagold,16
Regio Noord,2006,Jonagored,10
Regio Noord,2006,Rode Boskoop (Goudreinette),2
Regio Noord,2006,Overige appelrassen,6
Regio Noord,2006,Conference,33
Regio Noord,2006,Stoofperen,1
Regio Noord,2006,Triomphe de Vienne,0
Regio Noord,2006,Overige perenrassen,0
Regio Noord,2007,Coxs Orange Pippin,1
Regio Noord,2007,Delbarestivale (Delcorf),0
Regio Noord,2007,Elstar,34
Regio Noord,2007,Golden Delicious,3
Regio Noord,2007,Jonagold,12
Regio Noord,2007,Jonagored,7
Regio Noord,2007,Rode Boskoop (Goudreinette),1
Regio Noord,2007,Overige appelrassen,3
Regio Noord,2007,Conference,38
Regio Noord,2007,Stoofperen,1
Regio Noord,2007,Triomphe de Vienne,0
Regio Noord,2007,Overige perenrassen,0
Regio Noord,2008,Coxs Orange Pippin,1
Regio Noord,2008,Delbarestivale (Delcorf),0
Regio Noord,2008,Elstar,31
Regio Noord,2008,Golden Delicious,3
Regio Noord,2008,Jonagold,11
Regio Noord,2008,Jonagored,7
Regio Noord,2008,Rode Boskoop (Goudreinette),2
Regio Noord,2008,Overige appelrassen,4
Regio Noord,2008,Conference,29
Regio Noord,2008,Stoofperen,1
Regio Noord,2008,Triomphe de Vienne,0
Regio Noord,2008,Overige perenrassen,0
Regio Noord,2009,Coxs Orange Pippin,1
Regio Noord,2009,Delbarestivale (Delcorf),0
Regio Noord,2009,Elstar,32
Regio Noord,2009,Golden Delicious,3
Regio Noord,2009,Jonagold,11
Regio Noord,2009,Jonagored,8
Regio Noord,2009,Rode Boskoop (Goudreinette),1
Regio Noord,2009,Overige appelrassen,3
Regio Noord,2009,Conference,37
Regio Noord,2009,Stoofperen,1
Regio Noord,2009,Triomphe de Vienne,0
Regio Noord,2009,Overige perenrassen,1
Regio Noord,2010,Coxs Orange Pippin,0
Regio Noord,2010,Delbarestivale (Delcorf),0
Regio Noord,2010,Elstar,26
Regio Noord,2010,Golden Delicious,2
Regio Noord,2010,Jonagold,10
Regio Noord,2010,Jonagored,4
Regio Noord,2010,Rode Boskoop (Goudreinette),1
Regio Noord,2010,Overige appelrassen,3
Regio Noord,2010,Conference,33
Regio Noord,2010,Stoofperen,1
Regio Noord,2010,Triomphe de Vienne,0
Regio Noord,2010,Overige perenrassen,0
Regio Noord,2011,Coxs Orange Pippin,0
Regio Noord,2011,Delbarestivale (Delcorf),0
Regio Noord,2011,Elstar,27
Regio Noord,2011,Golden Delicious,2
Regio Noord,2011,Jonagold,16
Regio Noord,2011,Jonagored,4
Regio Noord,2011,Rode Boskoop (Goudreinette),1
Regio Noord,2011,Overige appelrassen,5
Regio Noord,2011,Conference,46
Regio Noord,2011,Stoofperen,1
Regio Noord,2011,Triomphe de Vienne,0
Regio Noord,2011,Overige perenrassen,0
Regio Noord,2012,Coxs Orange Pippin,0
Regio Noord,2012,Delbarestivale (Delcorf),0
Regio Noord,2012,Elstar,22
Regio Noord,2012,Golden Delicious,1
Regio Noord,2012,Jonagold,6
Regio Noord,2012,Jonagored,1
Regio Noord,2012,Rode Boskoop (Goudreinette),1
Regio Noord,2012,Overige appelrassen,1
Regio Noord,2012,Conference,24
Regio Noord,2012,Stoofperen,2
Regio Noord,2012,Triomphe de Vienne,1
Regio Noord,2012,Overige perenrassen,0
Regio Noord,2013,Coxs Orange Pippin,1
Regio Noord,2013,Delbarestivale (Delcorf),0
Regio Noord,2013,Elstar,16
Regio Noord,2013,Golden Delicious,2
Regio Noord,2013,Jonagold,9
Regio Noord,2013,Jonagored,1
Regio Noord,2013,Rode Boskoop (Goudreinette),1
Regio Noord,2013,Overige appelrassen,4
Regio Noord,2013,Conference,42
Regio Noord,2013,Stoofperen,0
Regio Noord,2013,Triomphe de Vienne,0
Regio Noord,2013,Overige perenrassen,2
Regio Noord,2014,Coxs Orange Pippin,1
Regio Noord,2014,Delbarestivale (Delcorf),0
Regio Noord,2014,Elstar,23
Regio Noord,2014,Golden Delicious,2
Regio Noord,2014,Jonagold,11
Regio Noord,2014,Jonagored,2
Regio Noord,2014,Rode Boskoop (Goudreinette),1
Regio Noord,2014,Overige appelrassen,4
Regio Noord,2014,Conference,35
Regio Noord,2014,Stoofperen,2
Regio Noord,2014,Triomphe de Vienne,0
Regio Noord,2014,Overige perenrassen,1
Regio Noord,2015,Coxs Orange Pippin,0
Regio Noord,2015,Delbarestivale (Delcorf),0
Regio Noord,2015,Elstar,15
Regio Noord,2015,Golden Delicious,1
Regio Noord,2015,Jonagold,10
Regio Noord,2015,Jonagored,1
Regio Noord,2015,Rode Boskoop (Goudreinette),1
Regio Noord,2015,Overige appelrassen,4
Regio Noord,2015,Conference,44
Regio Noord,2015,Stoofperen,1
Regio Noord,2015,Triomphe de Vienne,0
Regio Noord,2015,Overige perenrassen,1
Regio Noord,2016,Coxs Orange Pippin,0
Regio Noord,2016,Delbarestivale (Delcorf),0
Regio Noord,2016,Elstar,19
Regio Noord,2016,Golden Delicious,1
Regio Noord,2016,Jonagold,14
Regio Noord,2016,Jonagored,1
Regio Noord,2016,Rode Boskoop (Goudreinette),1
Regio Noord,2016,Overige appelrassen,1
Regio Noord,2016,Conference,47
Regio Noord,2016,Stoofperen,2
Regio Noord,2016,Triomphe de Vienne,0
Regio Noord,2016,Overige perenrassen,1
Regio West,1997,Coxs Orange Pippin,8
Regio West,1997,Delbarestivale (Delcorf),0
Regio West,1997,Elstar,16
Regio West,1997,Golden Delicious,8
Regio West,1997,Jonagold,20
Regio West,1997,Jonagored,5
Regio West,1997,Rode Boskoop (Goudreinette),3
Regio West,1997,Overige appelrassen,7
Regio West,1997,Conference,26
Regio West,1997,Stoofperen,4
Regio West,1997,Triomphe de Vienne,2
Regio West,1997,Overige perenrassen,5
Regio West,1998,Coxs Orange Pippin,11
Regio West,1998,Delbarestivale (Delcorf),1
Regio West,1998,Elstar,38
Regio West,1998,Golden Delicious,8
Regio West,1998,Jonagold,30
Regio West,1998,Jonagored,7
Regio West,1998,Rode Boskoop (Goudreinette),9
Regio West,1998,Overige appelrassen,10
Regio West,1998,Conference,33
Regio West,1998,Stoofperen,4
Regio West,1998,Triomphe de Vienne,2
Regio West,1998,Overige perenrassen,7
Regio West,1999,Coxs Orange Pippin,11
Regio West,1999,Delbarestivale (Delcorf),2
Regio West,1999,Elstar,43
Regio West,1999,Golden Delicious,11
Regio West,1999,Jonagold,40
Regio West,1999,Jonagored,6
Regio West,1999,Rode Boskoop (Goudreinette),13
Regio West,1999,Overige appelrassen,11
Regio West,1999,Conference,32
Regio West,1999,Stoofperen,2
Regio West,1999,Triomphe de Vienne,1
Regio West,1999,Overige perenrassen,5
Regio West,2000,Coxs Orange Pippin,10
Regio West,2000,Delbarestivale (Delcorf),2
Regio West,2000,Elstar,30
Regio West,2000,Golden Delicious,8
Regio West,2000,Jonagold,29
Regio West,2000,Jonagored,5
Regio West,2000,Rode Boskoop (Goudreinette),10
Regio West,2000,Overige appelrassen,12
Regio West,2000,Conference,47
Regio West,2000,Stoofperen,4
Regio West,2000,Triomphe de Vienne,1
Regio West,2000,Overige perenrassen,9
Regio West,2001,Coxs Orange Pippin,9
Regio West,2001,Delbarestivale (Delcorf),1
Regio West,2001,Elstar,25
Regio West,2001,Golden Delicious,7
Regio West,2001,Jonagold,23
Regio West,2001,Jonagored,7
Regio West,2001,Rode Boskoop (Goudreinette),7
Regio West,2001,Overige appelrassen,7
Regio West,2001,Conference,23
Regio West,2001,Stoofperen,1
Regio West,2001,Triomphe de Vienne,1
Regio West,2001,Overige perenrassen,3
Regio West,2002,Coxs Orange Pippin,6
Regio West,2002,Delbarestivale (Delcorf),2
Regio West,2002,Elstar,25
Regio West,2002,Golden Delicious,8
Regio West,2002,Jonagold,20
Regio West,2002,Jonagored,9
Regio West,2002,Rode Boskoop (Goudreinette),6
Regio West,2002,Overige appelrassen,6
Regio West,2002,Conference,42
Regio West,2002,Stoofperen,5
Regio West,2002,Triomphe de Vienne,2
Regio West,2002,Overige perenrassen,9
Regio West,2003,Coxs Orange Pippin,6
Regio West,2003,Delbarestivale (Delcorf),2
Regio West,2003,Elstar,24
Regio West,2003,Golden Delicious,8
Regio West,2003,Jonagold,16
Regio West,2003,Jonagored,11
Regio West,2003,Rode Boskoop (Goudreinette),7
Regio West,2003,Overige appelrassen,6
Regio West,2003,Conference,43
Regio West,2003,Stoofperen,3
Regio West,2003,Triomphe de Vienne,1
Regio West,2003,Overige perenrassen,3
Regio West,2004,Coxs Orange Pippin,5
Regio West,2004,Delbarestivale (Delcorf),3
Regio West,2004,Elstar,29
Regio West,2004,Golden Delicious,7
Regio West,2004,Jonagold,21
Regio West,2004,Jonagored,9
Regio West,2004,Rode Boskoop (Goudreinette),6
Regio West,2004,Overige appelrassen,4
Regio West,2004,Conference,49
Regio West,2004,Stoofperen,4
Regio West,2004,Triomphe de Vienne,2
Regio West,2004,Overige perenrassen,3
Regio West,2005,Coxs Orange Pippin,4
Regio West,2005,Delbarestivale (Delcorf),3
Regio West,2005,Elstar,28
Regio West,2005,Golden Delicious,7
Regio West,2005,Jonagold,18
Regio West,2005,Jonagored,11
Regio West,2005,Rode Boskoop (Goudreinette),5
Regio West,2005,Overige appelrassen,4
Regio West,2005,Conference,51
Regio West,2005,Stoofperen,3
Regio West,2005,Triomphe de Vienne,2
Regio West,2005,Overige perenrassen,3
Regio West,2006,Coxs Orange Pippin,4
Regio West,2006,Delbarestivale (Delcorf),2
Regio West,2006,Elstar,26
Regio West,2006,Golden Delicious,6
Regio West,2006,Jonagold,20
Regio West,2006,Jonagored,10
Regio West,2006,Rode Boskoop (Goudreinette),5
Regio West,2006,Overige appelrassen,3
Regio West,2006,Conference,56
Regio West,2006,Stoofperen,2
Regio West,2006,Triomphe de Vienne,2
Regio West,2006,Overige perenrassen,2
Regio West,2007,Coxs Orange Pippin,3
Regio West,2007,Delbarestivale (Delcorf),2
Regio West,2007,Elstar,30
Regio West,2007,Golden Delicious,6
Regio West,2007,Jonagold,21
Regio West,2007,Jonagored,16
Regio West,2007,Rode Boskoop (Goudreinette),5
Regio West,2007,Overige appelrassen,3
Regio West,2007,Conference,70
Regio West,2007,Stoofperen,2
Regio West,2007,Triomphe de Vienne,2
Regio West,2007,Overige perenrassen,2
Regio West,2008,Coxs Orange Pippin,2
Regio West,2008,Delbarestivale (Delcorf),2
Regio West,2008,Elstar,29
Regio West,2008,Golden Delicious,5
Regio West,2008,Jonagold,19
Regio West,2008,Jonagored,14
Regio West,2008,Rode Boskoop (Goudreinette),6
Regio West,2008,Overige appelrassen,3
Regio West,2008,Conference,46
Regio West,2008,Stoofperen,1
Regio West,2008,Triomphe de Vienne,1
Regio West,2008,Overige perenrassen,1
Regio West,2009,Coxs Orange Pippin,2
Regio West,2009,Delbarestivale (Delcorf),2
Regio West,2009,Elstar,37
Regio West,2009,Golden Delicious,5
Regio West,2009,Jonagold,20
Regio West,2009,Jonagored,14
Regio West,2009,Rode Boskoop (Goudreinette),4
Regio West,2009,Overige appelrassen,4
Regio West,2009,Conference,75
Regio West,2009,Stoofperen,2
Regio West,2009,Triomphe de Vienne,2
Regio West,2009,Overige perenrassen,2
Regio West,2010,Coxs Orange Pippin,1
Regio West,2010,Delbarestivale (Delcorf),1
Regio West,2010,Elstar,30
Regio West,2010,Golden Delicious,4
Regio West,2010,Jonagold,11
Regio West,2010,Jonagored,10
Regio West,2010,Rode Boskoop (Goudreinette),2
Regio West,2010,Overige appelrassen,0
Regio West,2010,Conference,71
Regio West,2010,Stoofperen,2
Regio West,2010,Triomphe de Vienne,2
Regio West,2010,Overige perenrassen,0
Regio West,2011,Coxs Orange Pippin,2
Regio West,2011,Delbarestivale (Delcorf),1
Regio West,2011,Elstar,38
Regio West,2011,Golden Delicious,7
Regio West,2011,Jonagold,18
Regio West,2011,Jonagored,17
Regio West,2011,Rode Boskoop (Goudreinette),5
Regio West,2011,Overige appelrassen,0
Regio West,2011,Conference,92
Regio West,2011,Stoofperen,4
Regio West,2011,Triomphe de Vienne,2
Regio West,2011,Overige perenrassen,0
Regio West,2012,Coxs Orange Pippin,1
Regio West,2012,Delbarestivale (Delcorf),1
Regio West,2012,Elstar,25
Regio West,2012,Golden Delicious,5
Regio West,2012,Jonagold,11
Regio West,2012,Jonagored,9
Regio West,2012,Rode Boskoop (Goudreinette),2
Regio West,2012,Overige appelrassen,3
Regio West,2012,Conference,60
Regio West,2012,Stoofperen,1
Regio West,2012,Triomphe de Vienne,0
Regio West,2012,Overige perenrassen,1
Regio West,2013,Coxs Orange Pippin,1
Regio West,2013,Delbarestivale (Delcorf),1
Regio West,2013,Elstar,28
Regio West,2013,Golden Delicious,4
Regio West,2013,Jonagold,10
Regio West,2013,Jonagored,10
Regio West,2013,Rode Boskoop (Goudreinette),3
Regio West,2013,Overige appelrassen,5
Regio West,2013,Conference,84
Regio West,2013,Stoofperen,3
Regio West,2013,Triomphe de Vienne,2
Regio West,2013,Overige perenrassen,0
Regio West,2014,Coxs Orange Pippin,1
Regio West,2014,Delbarestivale (Delcorf),1
Regio West,2014,Elstar,30
Regio West,2014,Golden Delicious,5
Regio West,2014,Jonagold,16
Regio West,2014,Jonagored,10
Regio West,2014,Rode Boskoop (Goudreinette),4
Regio West,2014,Overige appelrassen,4
Regio West,2014,Conference,101
Regio West,2014,Stoofperen,3
Regio West,2014,Triomphe de Vienne,2
Regio West,2014,Overige perenrassen,5
Regio West,2015,Coxs Orange Pippin,1
Regio West,2015,Delbarestivale (Delcorf),1
Regio West,2015,Elstar,29
Regio West,2015,Golden Delicious,5
Regio West,2015,Jonagold,16
Regio West,2015,Jonagored,12
Regio West,2015,Rode Boskoop (Goudreinette),3
Regio West,2015,Overige appelrassen,6
Regio West,2015,Conference,100
Regio West,2015,Stoofperen,1
Regio West,2015,Triomphe de Vienne,2
Regio West,2015,Overige perenrassen,4
Regio West,2016,Coxs Orange Pippin,1
Regio West,2016,Delbarestivale (Delcorf),1
Regio West,2016,Elstar,32
Regio West,2016,Golden Delicious,4
Regio West,2016,Jonagold,16
Regio West,2016,Jonagored,11
Regio West,2016,Rode Boskoop (Goudreinette),3
Regio West,2016,Overige appelrassen,3
Regio West,2016,Conference,112
Regio West,2016,Stoofperen,2
Regio West,2016,Triomphe de Vienne,2
Regio West,2016,Overige perenrassen,2
Regio Midden,1997,Coxs Orange Pippin,23
Regio Midden,1997,Delbarestivale (Delcorf),2
