Fruitteeltregios,Perioden,soort,oogst
Regio Midden,1997,Elstar,67
Regio Midden,1997,Golden Delicious,18
Regio Midden,1997,Jonagold,47
Regio Midden,1997,Jonagored,16
Regio Midden,1997,Rode Boskoop (Goudreinette),21
Regio Midden,1997,Overige appelrassen,19
Regio Midden,1997,Conference,44
Regio Midden,1997,Stoofperen,5
Regio Midden,1997,Triomphe de Vienne,2
Regio Midden,1997,Overige perenrassen,4
Regio Midden,1998,Coxs Orange Pippin,18
Regio Midden,1998,Delbarestivale (Delcorf),3
Regio Midden,1998,Elstar,86
Regio Midden,1998,Golden Delicious,15
Regio Midden,1998,Jonagold,56
Regio Midden,1998,Jonagored,20
Regio Midden,1998,Rode Boskoop (Goudreinette),16
Regio Midden,1998,Overige appelrassen,16
Regio Midden,1998,Conference,35
Regio Midden,1998,Stoofperen,5
Regio Midden,1998,Triomphe de Vienne,2
Regio Midden,1998,Overige perenrassen,5
Regio Midden,1999,Coxs Orange Pippin,17
Regio Midden,1999,Delbarestivale (Delcorf),4
Regio Midden,1999,Elstar,93
Regio Midden,1999,Golden Delicious,14
Regio Midden,1999,Jonagold,62
Regio Midden,1999,Jonagored,28
Regio Midden,1999,Rode Boskoop (Goudreinette),26
Regio Midden,1999,Overige appelrassen,18
Regio Midden,1999,Conference,40
Regio Midden,1999,Stoofperen,4
Regio Midden,1999,Triomphe de Vienne,2
Regio Midden,1999,Overige perenrassen,5
Regio Midden,2000,Coxs Orange Pippin,10
Regio Midden,2000,Delbarestivale (Delcorf),3
Regio Midden,2000,Elstar,81
Regio Midden,2000,Golden Delicious,13
Regio Midden,2000,Jonagold,57
Regio Midden,2000,Jonagored,21
Regio Midden,2000,Rode Boskoop (Goudreinette),14
Regio Midden,2000,Overige appelrassen,15
Regio Midden,2000,Conference,59
Regio Midden,2000,Stoofperen,7
Regio Midden,2000,Triomphe de Vienne,3
Regio Midden,2000,Overige perenrassen,5
Regio Midden,2001,Coxs Orange Pippin,12
Regio Midden,2001,Delbarestivale (Delcorf),3
Regio Midden,2001,Elstar,79
Regio Midden,2001,Golden Delicious,12
Regio Midden,2001,Jonagold,47
Regio Midden,2001,Jonagored,16
Regio Midden,2001,Rode Boskoop (Goudreinette),17
Regio Midden,2001,Overige appelrassen,11
Regio Midden,2001,Conference,18
Regio Midden,2001,Stoofperen,2
Regio Midden,2001,Triomphe de Vienne,1
Regio Midden,2001,Overige perenrassen,2
Regio Midden,2002,Coxs Orange Pippin,7
Regio Midden,2002,Delbarestivale (Delcorf),3
Regio Midden,2002,Elstar,62
Regio Midden,2002,Golden Delicious,11
Regio Midden,2002,Jonagold,47
Regio Midden,2002,Jonagored,18
Regio Midden,2002,Rode Boskoop (Goudreinette),9
Regio Midden,2002,Overige appelrassen,7
Regio Midden,2002,Conference,44
Regio Midden,2002,Stoofperen,8
Regio Midden,2002,Triomphe de Vienne,2
Regio Midden,2002,Overige perenrassen,5
Regio Midden,2003,Coxs Orange Pippin,7
Regio Midden,2003,Delbarestivale (Delcorf),4
Regio Midden,2003,Elstar,68
Regio Midden,2003,Golden Delicious,10
Regio Midden,2003,Jonagold,46
Regio Midden,2003,Jonagored,17
Regio Midden,2003,Rode Boskoop (Goudreinette),12
Regio Midden,2003,Overige appelrassen,7
Regio Midden,2003,Conference,53
Regio Midden,2003,Stoofperen,4
Regio Midden,2003,Triomphe de Vienne,1
Regio Midden,2003,Overige perenrassen,2
Regio Midden,2004,Coxs Orange Pippin,6
Regio Midden,2004,Delbarestivale (Delcorf),5
Regio Midden,2004,Elstar,89
Regio Midden,2004,Golden Delicious,13
Regio Midden,2004,Jonagold,55
Regio Midden,2004,Jonagored,26
Regio Midden,2004,Rode Boskoop (Goudreinette),14
Regio Midden,2004,Overige appelrassen,6
Regio Midden,2004,Conference,63
Regio Midden,2004,Stoofperen,8
Regio Midden,2004,Triomphe de Vienne,2
Regio Midden,2004,Overige perenrassen,3
Regio Midden,2005,Coxs Orange Pippin,5
Regio Midden,2005,Delbarestivale (Delcorf),4
Regio Midden,2005,Elstar,71
Regio Midden,2005,Golden Delicious,12
Regio Midden,2005,Jonagold,45
Regio Midden,2005,Jonagored,25
Regio Midden,2005,Rode Boskoop (Goudreinette),9
Regio Midden,2005,Overige appelrassen,8
Regio Midden,2005,Conference,67
Regio Midden,2005,Stoofperen,4
Regio Midden,2005,Triomphe de Vienne,2
Regio Midden,2005,Overige perenrassen,2
Regio Midden,2006,Coxs Orange Pippin,4
Regio Midden,2006,Delbarestivale (Delcorf),4
Regio Midden,2006,Elstar,75
Regio Midden,2006,Golden Delicious,9
Regio Midden,2006,Jonagold,39
Regio Midden,2006,Jonagored,23
Regio Midden,2006,Rode Boskoop (Goudreinette),13
Regio Midden,2006,Overige appelrassen,7
Regio Midden,2006,Conference,74
Regio Midden,2006,Stoofperen,5
Regio Midden,2006,Triomphe de Vienne,3
Regio Midden,2006,Overige perenrassen,2
Regio Midden,2007,Coxs Orange Pippin,3
Regio Midden,2007,Delbarestivale (Delcorf),3
Regio Midden,2007,Elstar,86
Regio Midden,2007,Golden Delicious,9
Regio Midden,2007,Jonagold,43
Regio Midden,2007,Jonagored,21
Regio Midden,2007,Rode Boskoop (Goudreinette),9
Regio Midden,2007,Overige appelrassen,6
Regio Midden,2007,Conference,82
Regio Midden,2007,Stoofperen,4
Regio Midden,2007,Triomphe de Vienne,3
Regio Midden,2007,Overige perenrassen,2
Regio Midden,2008,Coxs Orange Pippin,3
Regio Midden,2008,Delbarestivale (Delcorf),3
Regio Midden,2008,Elstar,82
Regio Midden,2008,Golden Delicious,9
Regio Midden,2008,Jonagold,40
Regio Midden,2008,Jonagored,20
Regio Midden,2008,Rode Boskoop (Goudreinette),13
Regio Midden,2008,Overige appelrassen,9
Regio Midden,2008,Conference,56
Regio Midden,2008,Stoofperen,2
Regio Midden,2008,Triomphe de Vienne,1
Regio Midden,2008,Overige perenrassen,1
Regio Midden,2009,Coxs Orange Pippin,3
Regio Midden,2009,Delbarestivale (Delcorf),3
Regio Midden,2009,Elstar,85
Regio Midden,2009,Golden Delicious,9
Regio Midden,2009,Jonagold,45
Regio Midden,2009,Jonagored,23
Regio Midden,2009,Rode Boskoop (Goudreinette),9
Regio Midden,2009,Overige appelrassen,9
Regio Midden,2009,Conference,106
Regio Midden,2009,Stoofperen,4
Regio Midden,2009,Triomphe de Vienne,3
Regio Midden,2009,Overige perenrassen,3
Regio Midden,2010,Coxs Orange Pippin,2
Regio Midden,2010,Delbarestivale (Delcorf),3
Regio Midden,2010,Elstar,71
Regio Midden,2010,Golden Delicious,7
Regio Midden,2010,Jonagold,38
Regio Midden,2010,Jonagored,15
Regio Midden,2010,Rode Boskoop (Goudreinette),9
Regio Midden,2010,Overige appelrassen,8
Regio Midden,2010,Conference,100
Regio Midden,2010,Stoofperen,5
Regio Midden,2010,Triomphe de Vienne,3
Regio Midden,2010,Overige perenrassen,3
Regio Midden,2011,Coxs Orange Pippin,2
Regio Midden,2011,Delbarestivale (Delcorf),2
Regio Midden,2011,Elstar,87
Regio Midden,2011,Golden Delicious,8
Regio Midden,2011,Jonagold,47
Regio Midden,2011,Jonagored,15
Regio Midden,2011,Rode Boskoop (Goudreinette),11
Regio Midden,2011,Overige appelrassen,13
Regio Midden,2011,Conference,111
Regio Midden,2011,Stoofperen,4
Regio Midden,2011,Triomphe de Vienne,2
Regio Midden,2011,Overige perenrassen,8
Regio Midden,2012,Coxs Orange Pippin,1
Regio Midden,2012,Delbarestivale (Delcorf),1
Regio Midden,2012,Elstar,55
Regio Midden,2012,Golden Delicious,7
Regio Midden,2012,Jonagold,27
Regio Midden,2012,Jonagored,8
Regio Midden,2012,Rode Boskoop (Goudreinette),8
Regio Midden,2012,Overige appelrassen,21
Regio Midden,2012,Conference,68
Regio Midden,2012,Stoofperen,2
Regio Midden,2012,Triomphe de Vienne,0
Regio Midden,2012,Overige perenrassen,2
Regio Midden,2013,Coxs Orange Pippin,1
Regio Midden,2013,Delbarestivale (Delcorf),3
Regio Midden,2013,Elstar,64
Regio Midden,2013,Golden Delicious,5
Regio Midden,2013,Jonagold,39
Regio Midden,2013,Jonagored,11
Regio Midden,2013,Rode Boskoop (Goudreinette),9
Regio Midden,2013,Overige appelrassen,15
Regio Midden,2013,Conference,118
Regio Midden,2013,Stoofperen,5
Regio Midden,2013,Triomphe de Vienne,2
Regio Midden,2013,Overige perenrassen,4
Regio Midden,2014,Coxs Orange Pippin,1
Regio Midden,2014,Delbarestivale (Delcorf),2
Regio Midden,2014,Elstar,73
Regio Midden,2014,Golden Delicious,6
Regio Midden,2014,Jonagold,35
Regio Midden,2014,Jonagored,15
Regio Midden,2014,Rode Boskoop (Goudreinette),11
Regio Midden,2014,Overige appelrassen,18
Regio Midden,2014,Conference,129
Regio Midden,2014,Stoofperen,4
Regio Midden,2014,Triomphe de Vienne,2
Regio Midden,2014,Overige perenrassen,6
Regio Midden,2015,Coxs Orange Pippin,1
Regio Midden,2015,Delbarestivale (Delcorf),2
Regio Midden,2015,Elstar,70
Regio Midden,2015,Golden Delicious,5
Regio Midden,2015,Jonagold,42
Regio Midden,2015,Jonagored,8
Regio Midden,2015,Rode Boskoop (Goudreinette),12
Regio Midden,2015,Overige appelrassen,18
Regio Midden,2015,Conference,126
Regio Midden,2015,Stoofperen,3
Regio Midden,2015,Triomphe de Vienne,1
Regio Midden,2015,Overige perenrassen,7
Regio Midden,2016,Coxs Orange Pippin,1
Regio Midden,2016,Delbarestivale (Delcorf),2
Regio Midden,2016,Elstar,67
Regio Midden,2016,Golden Delicious,4
Regio Midden,2016,Jonagold,39
Regio Midden,2016,Jonagored,8
Regio Midden,2016,Rode Boskoop (Goudreinette),10
Regio Midden,2016,Overige appelrassen,13
Regio Midden,2016,Conference,125
Regio Midden,2016,Stoofperen,4
Regio Midden,2016,Triomphe de Vienne,1
Regio Midden,2016,Overige perenrassen,7
Regio Zuid,1997,Coxs Orange Pippin,2
Regio Zuid,1997,Delbarestivale (Delcorf),0
Regio Zuid,1997,Elstar,16
Regio Zuid,1997,Golden Delicious,9
Regio Zuid,1997,Jonagold,14
Regio Zuid,1997,Jonagored,4
Regio Zuid,1997,Rode Boskoop (Goudreinette),3
Regio Zuid,1997,Overige appelrassen,4
Regio Zuid,1997,Conference,3
Regio Zuid,1997,Stoofperen,0
Regio Zuid,1997,Triomphe de Vienne,0
Regio Zuid,1997,Overige perenrassen,0
Regio Zuid,1998,Coxs Orange Pippin,4
Regio Zuid,1998,Delbarestivale (Delcorf),1
Regio Zuid,1998,Elstar,22
Regio Zuid,1998,Golden Delicious,6
Regio Zuid,1998,Jonagold,19
Regio Zuid,1998,Jonagored,5
Regio Zuid,1998,Rode Boskoop (Goudreinette),6
Regio Zuid,1998,Overige appelrassen,4
Regio Zuid,1998,Conference,4
Regio Zuid,1998,Stoofperen,0
Regio Zuid,1998,Triomphe de Vienne,0
Regio Zuid,1998,Overige perenrassen,0
Regio Zuid,1999,Coxs Orange Pippin,3
Regio Zuid,1999,Delbarestivale (Delcorf),1
Regio Zuid,1999,Elstar,19
Regio Zuid,1999,Golden Delicious,7
Regio Zuid,1999,Jonagold,17
Regio Zuid,1999,Jonagored,4
Regio Zuid,1999,Rode Boskoop (Goudreinette),6
Regio Zuid,1999,Overige appelrassen,3
Regio Zuid,1999,Conference,5
Regio Zuid,1999,Stoofperen,0
Regio Zuid,1999,Triomphe de Vienne,0
Regio Zuid,1999,Overige perenrassen,0
Regio Zuid,2000,Coxs Orange Pippin,2
Regio Zuid,2000,Delbarestivale (Delcorf),1
Regio Zuid,2000,Elstar,19
Regio Zuid,2000,Golden Delicious,5
Regio Zuid,2000,Jonagold,13
Regio Zuid,2000,Jonagored,4
Regio Zuid,2000,Rode Boskoop (Goudreinette),5
Regio Zuid,2000,Overige appelrassen,4
Regio Zuid,2000,Conference,5
Regio Zuid,2000,Stoofperen,0
Regio Zuid,2000,Triomphe de Vienne,0
Regio Zuid,2000,Overige perenrassen,0
Regio Zuid,2001,Coxs Orange Pippin,3
Regio Zuid,2001,Delbarestivale (Delcorf),1
Regio Zuid,2001,Elstar,18
Regio Zuid,2001,Golden Delicious,7
Regio Zuid,2001,Jonagold,10
Regio Zuid,2001,Jonagored,4
Regio Zuid,2001,Rode Boskoop (Goudreinette),3
Regio Zuid,2001,Overige appelrassen,2
Regio Zuid,2001,Conference,4
Regio Zuid,2001,Stoofperen,0
Regio Zuid,2001,Triomphe de Vienne,0
Regio Zuid,2001,Overige perenrassen,0
Regio Zuid,2002,Coxs Orange Pippin,1
Regio Zuid,2002,Delbarestivale (Delcorf),1
Regio Zuid,2002,Elstar,20
Regio Zuid,2002,Golden Delicious,7
Regio Zuid,2002,Jonagold,13
Regio Zuid,2002,Jonagored,5
Regio Zuid,2002,Rode Boskoop (Goudreinette),3
Regio Zuid,2002,Overige appelrassen,2
Regio Zuid,2002,Conference,6
Regio Zuid,2002,Stoofperen,0
Regio Zuid,2002,Triomphe de Vienne,0
Regio Zuid,2002,Overige perenrassen,0
Regio Zuid,2003,Coxs Orange Pippin,2
Regio Zuid,2003,Delbarestivale (Delcorf),1
Regio Zuid,2003,Elstar,17
Regio Zuid,2003,Golden Delicious,7
Regio Zuid,2003,Jonagold,12
Regio Zuid,2003,Jonagored,5
Regio Zuid,2003,Rode Boskoop (Goudreinette),4
Regio Zuid,2003,Overige appelrassen,1
Regio Zuid,2003,Conference,8
Regio Zuid,2003,Stoofperen,0
Regio Zuid,2003,Triomphe de Vienne,0
Regio Zuid,2003,Overige perenrassen,0
Regio Zuid,2004,Coxs Orange Pippin,1
Regio Zuid,2004,Delbarestivale (Delcorf),1
Regio Zuid,2004,Elstar,23
Regio Zuid,2004,Golden Delicious,7
Regio Zuid,2004,Jonagold,14
Regio Zuid,2004,Jonagored,5
Regio Zuid,2004,Rode Boskoop (Goudreinette),4
Regio Zuid,2004,Overige appelrassen,1
Regio Zuid,2004,Conference,7
Regio Zuid,2004,Stoofperen,0
Regio Zuid,2004,Triomphe de Vienne,0
Regio Zuid,2004,Overige perenrassen,0
Regio Zuid,2005,Coxs Orange Pippin,2
Regio Zuid,2005,Delbarestivale (Delcorf),1
Regio Zuid,2005,Elstar,23
Regio Zuid,2005,Golden Delicious,7
Regio Zuid,2005,Jonagold,14
Regio Zuid,2005,Jonagored,5
Regio Zuid,2005,Rode Boskoop (Goudreinette),4
Regio Zuid,2005,Overige appelrassen,2
Regio Zuid,2005,Conference,7
Regio Zuid,2005,Stoofperen,0
Regio Zuid,2005,Triomphe de Vienne,0
Regio Zuid,2005,Overige perenrassen,0
Regio Zuid,2006,Coxs Orange Pippin,1
Regio Zuid,2006,Delbarestivale (Delcorf),1
Regio Zuid,2006,Elstar,21
Regio Zuid,2006,Golden Delicious,6
Regio Zuid,2006,Jonagold,8
Regio Zuid,2006,Jonagored,3
Regio Zuid,2006,Rode Boskoop (Goudreinette),3
Regio Zuid,2006,Overige appelrassen,2
Regio Zuid,2006,Conference,9
Regio Zuid,2006,Stoofperen,0
Regio Zuid,2006,Triomphe de Vienne,0
Regio Zuid,2006,Overige perenrassen,0
Regio Zuid,2007,Coxs Orange Pippin,1
Regio Zuid,2007,Delbarestivale (Delcorf),1
Regio Zuid,2007,Elstar,22
Regio Zuid,2007,Golden Delicious,7
Regio Zuid,2007,Jonagold,12
Regio Zuid,2007,Jonagored,5
Regio Zuid,2007,Rode Boskoop (Goudreinette),4
Regio Zuid,2007,Overige appelrassen,2
Regio Zuid,2007,Conference,10
Regio Zuid,2007,Stoofperen,0
Regio Zuid,2007,Triomphe de Vienne,0
Regio Zuid,2007,Overige perenrassen,0
Regio Zuid,2008,Coxs Orange Pippin,1
Regio Zuid,2008,Delbarestivale (Delcorf),1
Regio Zuid,2008,Elstar,18
Regio Zuid,2008,Golden Delicious,6
Regio Zuid,2008,Jonagold,9
Regio Zuid,2008,Jonagored,5
Regio Zuid,2008,Rode Boskoop (Goudreinette),2
Regio Zuid,2008,Overige appelrassen,2
Regio Zuid,2008,Conference,8
Regio Zuid,2008,Stoofperen,0
Regio Zuid,2008,Triomphe de Vienne,0
Regio Zuid,2008,Overige perenrassen,0
Regio Zuid,2009,Coxs Orange Pippin,1
Regio Zuid,2009,Delbarestivale (Delcorf),1
Regio Zuid,2009,Elstar,22
Regio Zuid,2009,Golden Delicious,6
Regio Zuid,2009,Jonagold,10
Regio Zuid,2009,Jonagored,5
Regio Zuid,2009,Rode Boskoop (Goudreinette),3
Regio Zuid,2009,Overige appelrassen,2
Regio Zuid,2009,Conference,12
Regio Zuid,2009,Stoofperen,0
Regio Zuid,2009,Triomphe de Vienne,0
Regio Zuid,2009,Overige perenrassen,0
Regio Zuid,2010,Coxs Orange Pippin,0
Regio Zuid,2010,Delbarestivale (Delcorf),1
Regio Zuid,2010,Elstar,17
Regio Zuid,2010,Golden Delicious,6
Regio Zuid,2010,Jonagold,8
Regio Zuid,2010,Jonagored,5
Regio Zuid,2010,Rode Boskoop (Goudreinette),2
Regio Zuid,2010,Overige appelrassen,0
Regio Zuid,2010,Conference,10
Regio Zuid,2010,Stoofperen,0
Regio Zuid,2010,Triomphe de Vienne,0
Regio Zuid,2010,Overige perenrassen,0
Regio Zuid,2011,Coxs Orange Pippin,1
Regio Zuid,2011,Delbarestivale (Delcorf),1
Regio Zuid,2011,Elstar,20
Regio Zuid,2011,Golden Delicious,7
Regio Zuid,2011,Jonagold,11
Regio Zuid,2011,Jonagored,4
Regio Zuid,2011,Rode Boskoop (Goudreinette),3
Regio Zuid,2011,Overige appelrassen,0
Regio Zuid,2011,Conference,10
Regio Zuid,2011,Stoofperen,0
Regio Zuid,2011,Triomphe de Vienne,0
Regio Zuid,2011,Overige perenrassen,0
Regio Zuid,2012,Coxs Orange Pippin,0
Regio Zuid,2012,Delbarestivale (Delcorf),1
Regio Zuid,2012,Elstar,13
Regio Zuid,2012,Golden Delicious,7
Regio Zuid,2012,Jonagold,9
Regio Zuid,2012,Jonagored,3
Regio Zuid,2012,Rode Boskoop (Goudreinette),3
Regio Zuid,2012,Overige appelrassen,3
Regio Zuid,2012,Conference,9
Regio Zuid,2012,Stoofperen,0
Regio Zuid,2012,Triomphe de Vienne,0
Regio Zuid,2012,Overige perenrassen,0
Regio Zuid,2013,Coxs Orange Pippin,0
Regio Zuid,2013,Delbarestivale (Delcorf),1
Regio Zuid,2013,Elstar,15
Regio Zuid,2013,Golden Delicious,5
Regio Zuid,2013,Jonagold,8
Regio Zuid,2013,Jonagored,3
Regio Zuid,2013,Rode Boskoop (Goudreinette),3
Regio Zuid,2013,Overige appelrassen,2
Regio Zuid,2013,Conference,11
Regio Zuid,2013,Stoofperen,0
Regio Zuid,2013,Triomphe de Vienne,0
Regio Zuid,2013,Overige perenrassen,2
Regio Zuid,2014,Coxs Orange Pippin,0
Regio Zuid,2014,Delbarestivale (Delcorf),1
Regio Zuid,2014,Elstar,14
Regio Zuid,2014,Golden Delicious,5
Regio Zuid,2014,Jonagold,8
Regio Zuid,2014,Jonagored,3
Regio Zuid,2014,Rode Boskoop (Goudreinette),4
Regio Zuid,2014,Overige appelrassen,6
Regio Zuid,2014,Conference,11
Regio Zuid,2014,Stoofperen,0
Regio Zuid,2014,Triomphe de Vienne,0
Regio Zuid,2014,Overige perenrassen,0
Regio Zuid,2015,Coxs Orange Pippin,1
Regio Zuid,2015,Delbarestivale (Delcorf),1
Regio Zuid,2015,Elstar,14
Regio Zuid,2015,Golden Delicious,4
Regio Zuid,2015,Jonagold,7
Regio Zuid,2015,Jonagored,3
Regio Zuid,2015,Rode Boskoop (Goudreinette),2
Regio Zuid,2015,Overige appelrassen,6
Regio Zuid,2015,Conference,5
Regio Zuid,2015,Stoofperen,0
Regio Zuid,2015,Triomphe de Vienne,0
Regio Zuid,2015,Overige perenrassen,0
Regio Zuid,2016,Coxs Orange Pippin,0
Regio Zuid,2016,Delbarestivale (Delcorf),1
Regio Zuid,2016,Elstar,15
Regio Zuid,2016,Golden Delicious,3
Regio Zuid,2016,Jonagold,4
Regio Zuid,2016,Jonagored,2
Regio Zuid,2016,Rode Boskoop (Goudreinette),2
Regio Zuid,2016,Overige appelrassen,5
Regio Zuid,2016,Conference,8
Regio Zuid,2016,Stoofperen,0
Regio Zuid,2016,Triomphe de Vienne,0
Regio Zuid,2016,Overige perenrassen,0